Model,Train RMSE,Train MAE,Train R²,Train MAPE (%),Train Accuracy (%)
Random Forest,2468.6350297118406,2037.8892897499336,0.7300221382862526,14.643054802085704,84.32358375031313
XGBoost,2027.7588492706025,1577.0837960077529,0.797137043622267,11.919315713856987,88.93408005446445
