Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Train MAPE (%),Test MAPE (%),Accuracy (%)
Random Forest,1827.3033980729422,2425.454029803145,1483.9665453687917,1838.1477186350605,0.6295724153568469,0.4943869194412136,6.499496856274376,8.500264439535446,59.29354511893264
XGBoost,1684.7811305297705,2052.419043526806,1382.153739403609,1745.6145219500272,0.6837486733917506,0.5654185780848946,6.003710796109129,7.64730894950844,62.454232569068836
